0       9.01    1.50
10      9.91    0.89
20      11.2    2.24
30      11.2    1.68
40      11.6    1.97
50      11.7    1.40
60      11.9    1.83
70      12.8    2.02
80      13.2    1.38
90      14.8    0.90
100     14.8    0.95   
200	13.0	1.30
300     6.00    2.83
400	6.20	4.00
500	5.80	3.40
600     5.65    1.98
700     4.72    4.23
800     4.39    3.74
900     3.79    3.47
1000    4.14    0.90
1100    4.71    3.13
1200    4.04    2.50
1300    3.94    1.49
1400    4.43    2.45
1500    4.49    3.59
1600    4.46    3.61
1700    4.38    1.97
1800    4.64    3.04
1900    4.67    3.22
2000    4.67    2.02
2100    4.84    3.26
2200    4.85    3.61
2300    5.08    4.46
2400    4.92    1.23
2500    4.96    2.49
2600    5.00    2.77
2700    5.33    4.88
2800    5.26    2.11
2900    5.16    3.10
3000    5.16    2.77

