#   Time        Lum_e      <E>_e    <Erms>_e    Lum_eb     <E>_eb    <Erms>_eb   Lum_x       <E>_x    <Erms>_x
#   (sec)     (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)

  1.022E-03  9.817E-04  4.629E+00  4.720E+00  1.260E-07  4.702E+00  4.802E+00  1.652E-08  4.714E+00  4.815E+00
  6.250E-03  1.665E-02  5.162E+00  5.311E+00  2.466E-06  4.733E+00  4.841E+00  5.423E-07  4.822E+00  4.940E+00
  1.147E-02  1.617E-02  5.199E+00  5.354E+00  2.075E-06  4.747E+00  4.859E+00  4.208E-07  4.847E+00  4.970E+00
  1.610E-02  1.586E-02  5.210E+00  5.367E+00  1.928E-06  4.757E+00  4.871E+00  3.846E-07  4.859E+00  4.983E+00
  2.107E-02  1.994E-02  5.217E+00  5.375E+00  2.236E-06  4.778E+00  4.894E+00  4.594E-07  4.857E+00  4.981E+00
  2.652E-02  2.160E-02  5.294E+00  5.460E+00  2.361E-06  4.773E+00  4.890E+00  4.960E-07  4.870E+00  4.996E+00
  3.106E-02  2.389E-02  5.336E+00  5.506E+00  2.427E-06  4.785E+00  4.903E+00  4.972E-07  4.890E+00  5.020E+00
  3.622E-02  2.801E-02  5.381E+00  5.557E+00  2.582E-06  4.803E+00  4.924E+00  5.267E-07  4.903E+00  5.036E+00
  4.136E-02  3.275E-02  5.433E+00  5.614E+00  2.787E-06  4.817E+00  4.940E+00  5.749E-07  4.913E+00  5.047E+00
  4.657E-02  3.992E-02  5.491E+00  5.678E+00  3.007E-06  4.825E+00  4.950E+00  6.153E-07  4.931E+00  5.067E+00
  5.101E-02  4.486E-02  5.572E+00  5.767E+00  3.192E-06  4.833E+00  4.960E+00  6.582E-07  4.950E+00  5.090E+00
  5.605E-02  5.462E-02  5.634E+00  5.836E+00  3.459E-06  4.863E+00  4.994E+00  7.174E-07  4.969E+00  5.113E+00
  6.104E-02  6.681E-02  5.700E+00  5.909E+00  3.751E-06  4.880E+00  5.014E+00  7.745E-07  4.991E+00  5.138E+00
  6.606E-02  8.181E-02  5.757E+00  5.971E+00  4.189E-06  4.888E+00  5.023E+00  8.436E-07  5.005E+00  5.155E+00
  7.135E-02  9.904E-02  5.850E+00  6.071E+00  4.475E-06  4.906E+00  5.045E+00  9.195E-07  5.035E+00  5.190E+00
  7.605E-02  1.211E-01  5.918E+00  6.146E+00  4.925E-06  4.926E+00  5.069E+00  1.011E-06  5.057E+00  5.216E+00
  8.148E-02  1.537E-01  5.968E+00  6.201E+00  5.486E-06  4.949E+00  5.095E+00  1.102E-06  5.073E+00  5.234E+00
  8.650E-02  1.842E-01  6.081E+00  6.323E+00  5.821E-06  4.973E+00  5.124E+00  1.201E-06  5.101E+00  5.268E+00
