   Time        Lum_e      <E>_e    <Erms>_e    Lum_eb     <E>_eb    <Erms>_eb   Lum_x       <E>_x    <Erms>_x
   (sec)     (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)

  1.025E-03  4.030E-04  4.580E+00  4.666E+00  8.625E-08  4.724E+00  4.826E+00  2.091E-09  4.761E+00  4.876E+00
  2.026E-03  2.035E-03  4.654E+00  4.750E+00  5.596E-07  4.740E+00  4.846E+00  4.205E-08  4.773E+00  4.887E+00
  3.088E-03  5.172E-03  4.727E+00  4.834E+00  1.835E-06  4.760E+00  4.870E+00  2.463E-07  4.788E+00  4.902E+00
  4.014E-03  8.155E-03  4.760E+00  4.871E+00  3.197E-06  4.768E+00  4.880E+00  5.148E-07  4.795E+00  4.910E+00
  5.126E-03  1.138E-02  4.790E+00  4.905E+00  4.820E-06  4.775E+00  4.888E+00  8.902E-07  4.804E+00  4.919E+00
  6.364E-03  1.402E-02  4.805E+00  4.922E+00  6.069E-06  4.776E+00  4.891E+00  1.192E-06  4.809E+00  4.926E+00
  7.217E-03  1.633E-02  4.823E+00  4.942E+00  7.478E-06  4.781E+00  4.897E+00  1.522E-06  4.817E+00  4.935E+00
  8.167E-03  1.689E-02  4.813E+00  4.932E+00  7.630E-06  4.781E+00  4.896E+00  1.523E-06  4.817E+00  4.935E+00
  9.069E-03  1.770E-02  4.830E+00  4.951E+00  8.181E-06  4.783E+00  4.899E+00  1.672E-06  4.822E+00  4.941E+00
  1.025E-02  1.818E-02  4.828E+00  4.948E+00  8.380E-06  4.785E+00  4.901E+00  1.682E-06  4.824E+00  4.943E+00
  1.113E-02  1.836E-02  4.840E+00  4.961E+00  8.601E-06  4.789E+00  4.906E+00  1.707E-06  4.828E+00  4.948E+00
  1.225E-02  1.903E-02  4.829E+00  4.949E+00  8.805E-06  4.790E+00  4.907E+00  1.708E-06  4.828E+00  4.948E+00
  1.339E-02  1.814E-02  4.842E+00  4.964E+00  8.631E-06  4.791E+00  4.908E+00  1.653E-06  4.834E+00  4.955E+00
  1.452E-02  1.888E-02  4.830E+00  4.951E+00  8.854E-06  4.790E+00  4.907E+00  1.653E-06  4.834E+00  4.955E+00
  1.508E-02  1.941E-02  4.822E+00  4.942E+00  9.016E-06  4.789E+00  4.906E+00  1.654E-06  4.834E+00  4.955E+00
  1.610E-02  1.793E-02  4.835E+00  4.958E+00  8.660E-06  4.792E+00  4.909E+00  1.580E-06  4.838E+00  4.959E+00
  1.701E-02  1.861E-02  4.825E+00  4.947E+00  8.875E-06  4.791E+00  4.908E+00  1.580E-06  4.838E+00  4.959E+00
  1.829E-02  1.853E-02  4.823E+00  4.945E+00  8.857E-06  4.792E+00  4.909E+00  1.541E-06  4.839E+00  4.961E+00
  1.939E-02  1.806E-02  4.826E+00  4.948E+00  8.722E-06  4.794E+00  4.911E+00  1.481E-06  4.842E+00  4.964E+00
  2.051E-02  1.882E-02  4.815E+00  4.935E+00  8.971E-06  4.793E+00  4.910E+00  1.481E-06  4.842E+00  4.964E+00
  2.107E-02  1.939E-02  4.807E+00  4.927E+00  9.156E-06  4.793E+00  4.909E+00  1.481E-06  4.842E+00  4.964E+00
  2.219E-02  1.874E-02  4.815E+00  4.936E+00  8.976E-06  4.795E+00  4.912E+00  1.432E-06  4.845E+00  4.967E+00
  2.330E-02  1.828E-02  4.821E+00  4.943E+00  8.871E-06  4.797E+00  4.915E+00  1.382E-06  4.848E+00  4.971E+00
  2.440E-02  1.904E-02  4.811E+00  4.931E+00  9.131E-06  4.797E+00  4.914E+00  1.382E-06  4.848E+00  4.971E+00
  2.550E-02  1.980E-02  4.801E+00  4.920E+00  9.395E-06  4.795E+00  4.912E+00  1.382E-06  4.848E+00  4.971E+00
  2.605E-02  2.037E-02  4.794E+00  4.912E+00  9.593E-06  4.794E+00  4.911E+00  1.382E-06  4.848E+00  4.972E+00
  2.713E-02  1.961E-02  4.808E+00  4.928E+00  9.370E-06  4.798E+00  4.915E+00  1.343E-06  4.852E+00  4.975E+00
  2.804E-02  1.900E-02  4.826E+00  4.948E+00  8.963E-06  4.804E+00  4.922E+00  1.284E-06  4.857E+00  4.981E+00
  2.912E-02  1.989E-02  4.827E+00  4.948E+00  8.679E-06  4.806E+00  4.925E+00  1.240E-06  4.859E+00  4.984E+00
  3.043E-02  2.032E-02  4.831E+00  4.953E+00  8.543E-06  4.806E+00  4.924E+00  1.220E-06  4.861E+00  4.986E+00
  3.154E-02  2.061E-02  4.833E+00  4.956E+00  8.615E-06  4.804E+00  4.923E+00  1.214E-06  4.863E+00  4.988E+00
  3.210E-02  2.123E-02  4.825E+00  4.946E+00  8.863E-06  4.803E+00  4.922E+00  1.214E-06  4.863E+00  4.988E+00
  3.320E-02  2.039E-02  4.847E+00  4.971E+00  8.663E-06  4.806E+00  4.925E+00  1.224E-06  4.866E+00  4.992E+00
  3.429E-02  2.122E-02  4.835E+00  4.958E+00  9.001E-06  4.804E+00  4.922E+00  1.224E-06  4.866E+00  4.992E+00
  3.538E-02  2.203E-02  4.824E+00  4.946E+00  9.334E-06  4.802E+00  4.919E+00  1.224E-06  4.866E+00  4.992E+00
  3.647E-02  2.117E-02  4.853E+00  4.978E+00  9.216E-06  4.809E+00  4.928E+00  1.257E-06  4.871E+00  4.998E+00
  3.702E-02  2.177E-02  4.844E+00  4.968E+00  9.460E-06  4.807E+00  4.925E+00  1.257E-06  4.871E+00  4.998E+00
  3.811E-02  2.238E-02  4.837E+00  4.960E+00  9.704E-06  4.805E+00  4.923E+00  1.258E-06  4.871E+00  4.998E+00
  3.921E-02  2.319E-02  4.827E+00  4.949E+00  1.003E-05  4.802E+00  4.920E+00  1.258E-06  4.871E+00  4.998E+00
  4.031E-02  2.271E-02  4.859E+00  4.985E+00  1.001E-05  4.814E+00  4.934E+00  1.313E-06  4.878E+00  5.006E+00
  4.140E-02  2.354E-02  4.848E+00  4.973E+00  1.037E-05  4.811E+00  4.931E+00  1.314E-06  4.878E+00  5.006E+00
  4.248E-02  2.436E-02  4.838E+00  4.961E+00  1.072E-05  4.809E+00  4.928E+00  1.314E-06  4.878E+00  5.006E+00
  4.302E-02  2.498E-02  4.831E+00  4.953E+00  1.100E-05  4.808E+00  4.927E+00  1.314E-06  4.878E+00  5.006E+00
  4.410E-02  2.559E-02  4.824E+00  4.946E+00  1.127E-05  4.807E+00  4.925E+00  1.314E-06  4.878E+00  5.006E+00
  4.519E-02  2.508E-02  4.869E+00  4.996E+00  1.141E-05  4.820E+00  4.941E+00  1.429E-06  4.884E+00  5.012E+00
