--------------------------------------------------------------------------------------------------------------------
Run:              gra6e12s15_ at radius R =  500.00000 km (Liebendoerfer et al. 2001, (astro-ph/0103024)
#time slices, #energy groups
   299            12
--------------------------------------------------------------------------------------------------------------------
 t:  time after bounce [s]
 E:  group energy [MeV]
 dE: group size [MeV]
 Lx: number luminosity/dE [1/MeV/s]
     Lx = 4piR^2*lapsefunction * 4pic E^2/(hc)^3 * Gx
     Gx = first angular moment of neutrino
          distribution function for comoving observers
 Ex: group energy at infinity [MeV]
 x:  e    ... electron neutrino
     ebar ... electron anti neutrino
     m    ... mu or tau neutrino
     mbar ... mu or tau anti neutrino
 total luminosities at infinity:
 number = sum_{groups} Lx*dE
 energy = sum_{groups} Lx*Ex*dE
        ~ sum_{groups} Lx*E*dE
--------------------------------------------------------------------------------------------------------------------
t               E         dE        Le        Lebar     Lm        Lmbar     Ee        Eebar     Em        Embar
--------------------------------------------------------------------------------------------------------------------
-0.183000000E+00 0.500E+01 0.184E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.499E+01 0.499E+01 0.499E+01 0.499E+01
-0.183000000E+00 0.725E+01 0.267E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.724E+01 0.724E+01 0.724E+01 0.724E+01
-0.183000000E+00 0.105E+02 0.387E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.105E+02 0.105E+02 0.105E+02 0.105E+02
-0.183000000E+00 0.153E+02 0.562E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.152E+02 0.152E+02 0.152E+02 0.152E+02
-0.183000000E+00 0.222E+02 0.815E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.221E+02 0.221E+02 0.221E+02 0.221E+02
-0.183000000E+00 0.322E+02 0.118E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.321E+02 0.321E+02 0.321E+02 0.321E+02
-0.183000000E+00 0.467E+02 0.172E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.466E+02 0.466E+02 0.466E+02 0.466E+02
-0.183000000E+00 0.677E+02 0.249E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.675E+02 0.675E+02 0.675E+02 0.675E+02
-0.183000000E+00 0.982E+02 0.361E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.980E+02 0.980E+02 0.980E+02 0.980E+02
-0.183000000E+00 0.143E+03 0.524E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.142E+03 0.142E+03 0.142E+03 0.142E+03
-0.183000000E+00 0.207E+03 0.761E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.206E+03 0.206E+03 0.206E+03 0.206E+03
-0.183000000E+00 0.300E+03 0.110E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.299E+03 0.299E+03 0.299E+03 0.299E+03
--------------------------------------------------------------------------------------------------------------------
-0.174504622E+00 0.500E+01 0.184E+01 0.421E+55 0.408E+50 0.883E+49 0.874E+49 0.499E+01 0.499E+01 0.499E+01 0.499E+01
-0.174504622E+00 0.725E+01 0.267E+01 0.554E+54 0.671E+49 0.123E+49 0.129E+49 0.724E+01 0.724E+01 0.724E+01 0.724E+01
-0.174504622E+00 0.105E+02 0.387E+01 0.161E+53 0.203E+48 0.355E+47 0.377E+47 0.105E+02 0.105E+02 0.105E+02 0.105E+02
